"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field17","Field18","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26"
135,8/8/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M43","3987","Marked","Female","NR",81.00,"PB",,,,,,,,,,,,,,,
136,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M25","3987","Recap","Female","NR",86.50,"PB",,,,,,,,,,,,,,,
137,8/7/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M29","y","Escaped",,"?",,"PB","large!",,,,,,,,,,,,,,
138,8/7/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M44","z","Released","?","?",,"PB","immature, not doing so well",,,,,,,,,,,,,,
139,8/9/2011 0:00:00,"Beaver Ponds","Forest","Spermophilus lateralis","F2","aa","NEW",,,,"PB","Released",,,,,,,,,,,,,,
140,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M24","bb","NEW","Female","NR",67.00,"PB",,,,,,,,,,,,,,,
141,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M29","cc","Released",,,,"PB",,,,,,,,,,,,,,,
142,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Spermophilus lateralis","M35","dd","NEW","Female","R",175.00,"SEED",,,,,,,,,,,,,,,
144,8/7/2011 0:00:00,"Beaver Ponds","Meadow","Tamias minimus","M16","349","Marked","Male","NS",27.00,"SEED",,,,,,,,,,,,,,,
145,8/7/2011 0:00:00,"Beaver Ponds","Meadow","Tamias minimus","M36","376","Marked","Male","S",27.00,"SEED",,,,,,,,,,,,,,,
146,8/7/2011 0:00:00,"Beaver Ponds","Forest","Tamias minimus","F23","ee","Escaped","?","?",,"PB",,,,,,,,,,,,,,,
147,8/9/2011 0:00:00,"Beaver Ponds","Forest","Tamias minimus","F0","ff","NEW","Male","NS",42.00,"PB",,,,,,,,,,,,,,,
148,8/9/2011 0:00:00,"Beaver Ponds","Forest","Tamias minimus","F19","gg","NEW","Male","NS",38.00,"SEED",,,,,,,,,,,,,,,
149,8/9/2011 0:00:00,"Beaver Ponds","Forest","Tamias minimus","F24","hh","NEW","Male","S",31.50,"PB",,,,,,,,,,,,,,,
150,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Tamias minimus","M29","ii","NEW","Female","NR",27.00,"SEED",,,,,,,,,,,,,,,
151,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Tamias minimus","M40","jj","NEW","Male","NS",43.00,"SEED",,,,,,,,,,,,,,,
152,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Tamias minimus","M41","kk","NEW","Female","NR",43.50,"SEED",,,,,,,,,,,,,,,
153,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Tamias minimus","M43","ll","NEW","Male","NS",39.00,"PB",,,,,,,,,,,,,,,
154,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Tamias minimus","M43","mm","NEW","Male","NS",26.00,"SEED",,,,,,,,,,,,,,,
156,8/8/2011 0:00:00,"Beaver Ponds","Forest","Tamias umbrinus","F36","386","Marked","Male","S",63.00,"SEED",,,,,,,,,,,,,,,
157,8/9/2011 0:00:00,"Beaver Ponds","Forest","Tamias umbrinus","F34","386","Recap","Male","S",58.00,"PB",,,,,,,,,,,,,,,
158,8/9/2011 0:00:00,"Beaver Ponds","Forest","Tamias umbrinus","F24","nn","NEW","Male","NS",49.00,"SEED",,,,,,,,,,,,,,,
159,8/9/2011 0:00:00,"Beaver Ponds","Forest","Tamias umbrinus","F42","oo","NEW","Female","R",67.00,"SEED",,,,,,,,,,,,,,,
160,8/9/2011 0:00:00,"Beaver Ponds","Meadow","Tamias umbrinus","M44","pp","NEW","Male","S",61.00,"SEED",,,,,,,,,,,,,,,
162,8/6/2011 0:00:00,"Beaver Ponds","Forest","Tamiasciurus hudsonicus","F52","qq","Released",,,,"PB",,,,,,,,,,,,,,,
163,8/7/2011 0:00:00,"Beaver Ponds","Riparian","Zapus princeps","W5","373","Marked","Male","S",31.00,"SEED",,,,,,,,,,,,,,,
164,8/7/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus?","W10","0003","Marked","Male","S",40.00,"PB",,42.00,19.00,13.00,,,,,,,,,,,
165,8/7/2011 0:00:00,"Beaver Ponds","Riparian","Microtus montanus?","W10","0004","Marked","Male","S",37.00,"SEED",,42.00,18.00,13.00,,,,,,,,,,,
