"ID","Date","Site .","Elevation","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear"
134,"7/15/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R31","446","recap","Female","Reproductive",18.50,"seed",,,,
135,"7/16/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R27","446","recap","Female","Reproductive",20.00,"seed",,,,
136,"7/17/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R27","446","recap","Female","Reproductive",18.00,"seed",,,,
137,"7/13/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R34","447","ear tag","Male","Scrotal",16.00,"pb",,,,
138,"7/14/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R33","447","recap","Male","Scrotal",17.00,"pb",,,,
139,"7/15/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R33","447","recap","Male","Scrotal",17.00,"pb",,,,
140,"7/16/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R34","447","recap","Male","Scrotal",18.00,"pb",,,,
141,"7/17/2010 am","Cedar Park","~2100m","Rocky","Peromyscus maniculatus","R33","447","recap","Male","Scrotal",16.00,"pb",,,,
142,"7/13/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F34","448","ear tag","Female","Non-reprod.",11.00,"pb",,,,
143,"7/15/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F35","448","recap","Female","Non-reprod.",11.50,"seed","biter!",,,
144,"7/13/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F34","450","ear tag","Male","Scrotal",19.00,"seed",,,,
145,"7/14/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F33","450","recap","Male","Scrotal",20.00,"seed",,,,
146,"7/15/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F33","450","recap","Male","Scrotal",19.00,"pb",,,,
147,"7/16/2010 am","Cedar Park","~2100m","Forest","Peromyscus maniculatus","F39","450","recap","Male","Scrotal",20.50,"pb",,,,
148,"7/13/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M2","456","ear tag","Female","Reproductive",16.00,"seed",,71.00,,"19"
149,"7/14/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M2","456","recap","Female","Reproductive",15.00,"seed",,,,
150,"7/15/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M2","456","recap","Female","Reproductive",16.00,"seed",,,,
151,"7/17/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M2","456","recap","Female","Reproductive",16.00,"seed",,,,
152,"7/13/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M12","457","ear tag","Female","Reproductive",20.50,"seed",,,,
153,"7/15/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M8","457","recap","Female","Reproductive",21.00,"pb",,,,
154,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M12","457","recap","Female","Reproductive",21.00,"pb",,,,
155,"7/17/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M10","457","recap","Female","Reproductive",20.50,"pb",,,,
156,"7/13/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M13","458","ear tag","Female","Reproductive",18.00,"seed",,,,
157,"7/17/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M12","458","recap","Female","Reproductive",25.00,"pb",,,,
158,"7/13/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M14","459","ear tag","Female","Reproductive",25.00,"pb",,68.00,,"17"
159,"7/14/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M23","459","recap","Female","Reproductive",27.00,"seed",,,,
160,"7/13/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M15","460","ear tag","Male","Scrotal",15.00,"seed",,,,
161,"7/15/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M12","460","recap","Male","Scrotal",16.00,"pb",,,,
162,"7/13/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M16","461","ear tag","Female","Non-reprod.",12.00,"seed",,,,
163,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M15","461","recap","Female","Non-reprod.",12.00,"pb",,,,
164,"7/13/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M21","462","ear tag","Female","Reproductive",22.00,"pb",,,,
165,"7/14/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M21","462","recap","Female","Reproductive",18.00,"pb",,,,
166,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M21","462","recap","Female","Reproductive",20.00,"pb",,,,
167,"7/13/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M29","463","ear tag","Female","Reproductive",14.50,"pb",,,,
168,"7/14/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M28","463","recap","Female","Reproductive",15.00,"pb",,,,
169,"7/15/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M29","463","recap","Female","Reproductive",15.00,"seed",,,,
170,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M28","463","recap","Female","Reproductive",17.00,"seed",,,,
171,"7/17/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M30","463","recap","Female","Reproductive",16.00,"seed",,,,
172,"7/13/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M30","464","ear tag","Male","Scrotal",15.00,"seed",,,,
173,"7/14/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M32","464","recap","Male","Scrotal",14.00,"?",,,,
174,"7/16/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M36","464","recap","Male","Scrotal",16.00,"seed",,,,
175,"7/17/2010 am","Cedar Park","~2100m","Meadow","Peromyscus maniculatus","M34","464","recap","Male","Scrotal",14.00,"seed",,,,
176,"7/13/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W15","465","ear tag","Male","Non-scrotal",15.00,"pb",,,,
177,"7/13/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W13","466","ear tag","Female","Reproductive",18.00,"seed",,,,
178,"7/16/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W21","466","recap","Female","Reproductive",20.00,"pb",,,,
179,"7/17/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W13","466","recap","Female","Reproductive",19.00,"pb",,,,
180,"7/13/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W12","467","ear tag","Female","Non-reprod.",12.50,"seed",,,,
181,"7/14/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W13","467","recap","Female","Non-reprod.",11.00,"seed","double cap 2",,,
182,"7/15/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W12","467","recap","Female","Non-reprod.",11.00,"seed",,,,
183,"7/16/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W12","467","recap","Female","Non-reprod.",12.00,"seed",,,,
184,"7/13/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W11","468","ear tag","Male","Scrotal",15.00,"pb",,,,
185,"7/13/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W10","469","ear tag","Male","Non-scrotal",14.00,"pb",,,,
186,"7/14/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W8","469","recap","Male","Non-scrotal",13.00,"seed","double cap 1",,,
187,"7/15/2010 am","Cedar Park","~2100m","Riparian","Peromyscus maniculatus","W8","469","recap","Male","Non-scrotal",13.00,"pb",,,,
