"ID","Date","Site","Observer","Trap No","Bait","Species","Tag/ Clip","Indiv","Fate","Sex","Reprod","tail","hindfoot","ear","Mass","Notes","ID notes"
339,7/8/2012 0:00:00,"Grouse Point","SK","M50","Seed","Tamias minimus",3927.00,"3927","Ear tag","Male","Scrotal",94.00,30.00,13.00,39.00,,
340,7/9/2012 0:00:00,"Grouse Point","SY","M47","PB","Tamias minimus",3927.00,"3927","Recap","Male","Scrotal",,,,35.00,,
341,7/8/2012 0:00:00,"Grouse Point","JB","M42","PB","Tamias minimus",3930.00,"3930","Ear tag","Female","Non-reprod.",86.00,28.00,10.00,27.00,,
342,7/8/2012 0:00:00,"Grouse Point","JB","M37","PB","Tamias minimus",3932.00,"3932","Ear tag","Male","Scrotal",95.00,28.00,12.00,39.00,,
343,7/9/2012 0:00:00,"Grouse Point","SY","M25","Seed","Tamias minimus",3932.00,"3932","Recap","Male","Scrotal",,,,36.00,,
344,7/11/2012 0:00:00,"Grouse Point","JH","M25","Seed","Tamias minimus",3932.00,"3932","Recap","Male","Scrotal",,,,39.00,,
345,7/8/2012 0:00:00,"Grouse Point","SY","M50","PB","Tamias minimus",3933.00,"3933","Ear tag","Female","Non-reprod.",95.00,31.00,13.00,38.00,,
346,7/9/2012 0:00:00,"Grouse Point","JB","M47","Seed","Tamias minimus",3933.00,"3933","Recap","Female","Non-reprod.",,,,36.00,,
347,7/8/2012 0:00:00,"Grouse Point","SY","R5","Seed","Tamias minimus",3934.00,"3934","Ear tag","Female","Reprod.",99.00,30.00,13.00,51.00,,
348,7/9/2012 0:00:00,"Grouse Point","SK","R2","Seed","Tamias minimus",3934.00,"3934","Recap","Female","Reprod.",,,,47.00,,
349,7/11/2012 0:00:00,"Grouse Point","JH","R5","Seed","Tamias minimus",3934.00,"3934","Recap","Female","Reprod.",,,,48.50,"Lactating",
350,7/8/2012 0:00:00,"Grouse Point","SY","M39","Seed","Tamias minimus",3936.00,"3936","Ear tag","Male","Scrotal",94.00,26.00,14.00,46.00,"Called NS in hand, but S in other captures",
351,7/9/2012 0:00:00,"Grouse Point","JB","M34","Seed","Tamias minimus",3936.00,"3936","Recap","Male","Scrotal",,,,44.00,,
352,7/10/2012 0:00:00,"Grouse Point","SK","M38","Seed","Tamias minimus",3936.00,"3936","Recap","Male","Scrotal",,,,44.00,"Species scribbled out in book",
353,7/11/2012 0:00:00,"Grouse Point","JH","M39","Seed","Tamias minimus",3936.00,"3936","Recap","Male","Scrotal",,,,46.00,,
354,7/8/2012 0:00:00,"Grouse Point","SY","M46","Seed","Tamias minimus",3937.00,"3937","Ear tag","Female","Reprod.",97.00,31.00,14.00,45.00,,
355,7/9/2012 0:00:00,"Grouse Point","JB","M42","Seed","Tamias minimus",3937.00,"3937","Recap","Female","Reprod.",,,,44.50,,
356,7/8/2012 0:00:00,"Grouse Point","SK","M44","Seed","Tamias minimus",3939.00,"3939","Ear tag","Male","Scrotal",99.00,29.00,13.00,43.00,,
357,7/8/2012 0:00:00,"Grouse Point","JB","M45","PB","Tamias minimus",3940.00,"3940","Ear tag","Male","Non-scrotal",101.00,28.00,11.00,57.00,,
358,7/11/2012 0:00:00,"Grouse Point","SY","M46","PB","Tamias minimus",3940.00,"3940","Recap","Male","Scrotal",,,,39.00,,
359,7/8/2012 0:00:00,"Grouse Point","JB","M48","Seed","Tamias minimus",3941.00,"3941","Ear tag","Female","Non-reprod.",92.00,29.00,14.00,36.00,,
360,7/9/2012 0:00:00,"Grouse Point","SY","M46","PB","Tamias minimus",3941.00,"3941","Recap","Female","Non-reprod.",,,,36.00,,
361,7/8/2012 0:00:00,"Grouse Point","SK","M40","PB","Tamias minimus",3942.00,"3942","Ear tag","Male","Non-scrotal",101.00,29.00,13.00,46.00,,
