"ID","Site .","Elevation","Team","Date","Transect","Species","Trap No","Tag/ Clip","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","SK notes","Field19","Field20","Field21","Field22","Field23","Field24","Field25","Field26","Field27"
50,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Perognathus flavus","R5","1200","Recap","Male","Non-scrotal",7.50,"Seed",,,,,,,,,,,,,,
51,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Rocky","Perognathus flavus","R31","1300","Toe clip","Male","Non-scrotal",6.50,"Seed",,52.00,15.00,6.00,,,,,,,,,,
52,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Perognathus flavus","R32","1300","Recap","Female","Non-reprod.",6.50,"Seed","tag misread, too far from orignial 1000, only close individual is 1300 same weight but wrong sex",,,,,,,,,,,,,
53,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Riparian","Perognathus flavus","W3","2000","Toe clip","Female","Non-reprod.",7.00,"PB",,54.00,16.00,6.00,,,,,,,,,,
54,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Riparian","Perognathus flavus","W4","3000","Toe clip","Male","Non-scrotal",7.00,"Seed",,50.00,15.00,6.00,,,,,,,,,,
55,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Riparian","Perognathus flavus","W4","3000","Recap","Male","Non-scrotal",7.00,"Seed",,,,,,,,,,,,,,
56,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Meadow","Perognathus flavus","M15","4000","Toe clip","Female","Non-reprod.",7.00,"PB",,52.00,15.00,7.00,,,,,,,,,,
57,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Meadow","Perognathus flavus","M1","4000","Recap","Female","Non-reprod.",7.50,"PB",,,,,,,,,,,,,,
58,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Perognathus flavus","F56","4100","Toe clip","Male","Scrotal",7.00,"Seed",,52.00,15.00,6.00,,,,,,,,,,
59,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Perognathus flavus","F34","4200","Toe clip","Female","Non-reprod.",6.50,"Seed",,54.00,15.00,5.00,,,,,,,,,,
60,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Rocky","Perognathus flavus","R20","4300","Toe clip",,,7.00,"PB","Sex/repro not entered",53.00,16.00,7.00,,,,,,,,,,
61,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Meadow","Perognathus flavus","M5","4400","Toe clip","Male","Non-scrotal",8.00,"PB",,52.00,16.00,6.00,,,,,,,,,,
62,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Perognathus flavus","R17","02/300","Toe clip","Female","Non-reprod.",7.50,"Seed",,56.00,17.00,6.00,,,,,,,,,,
63,"Hovenweep","1700-1800","SK, WW, AW",8/14/2011 0:00:00,"Rocky","Perognathus flavus","R31","1004/5","Toe clip","Female","Reprod.",9.00,"Seed",,60.00,16.00,6.00,,,,,,,,,,
64,"Hovenweep","1700-1800","JH, RP",8/14/2011 0:00:00,"Forest","Perognathus flavus","F21","4000b","Recap","Female","Non-reprod.",8.00,"Seed","recap, tag misread, too far from original 4000",,,,,,,,,,,,,
65,"Hovenweep","1700-1800","SK, WW",8/15/2011 0:00:00,"Forest","Perognathus flavus","F19","4000b","Toe clip (natural?)","Female","Non-reprod.",7.50,"Seed","recap, tag misread, too far from original 4000; not a clear individual that matches, maybe a natural tag (changing to natural tag)",,,,,,,,,,,,,
66,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Forest","Perognathus flavus","F5","a","Released","Female","Reprod.",6.50,"PB",,59.00,16.00,6.00,,,,,,,,,,
67,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Perognathus flavus","F19","b","Released","Male","Non-scrotal",7.00,"Seed","recap, tag misread, too far from original 4000; not a clear individual that matches, maybe a natural tag",50.00,15.00,6.00,,,,,,,,,,
68,"Hovenweep","1700-1800","RP, JH",8/16/2011 0:00:00,"Forest","Perognathus flavus","F59","c","Released","Female","Non-reprod.",9.00,"Seed",,53.00,16.00,6.00,,,,,,,,,,
69,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Meadow","Perognathus flavus","M13","d","Released","Female","Non-reprod.",7.50,"Seed",,64.00,16.00,5.00,,,,,,,,,,
70,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Meadow","Perognathus flavus","M22","e","Released","Male","Non-scrotal",8.00,"Seed",,62.00,17.00,6.00,,,,,,,,,,
73,"Hovenweep","1700-1800","RP, JH",8/15/2011 0:00:00,"Rocky","Peromyscus boylii","R18","265","Ear tag","Male","Non-scrotal",17.00,"PB","noted as female NR, changed to SK's reported sex the next day",87.00,21.00,19.00,,,,,,,,,,
74,"Hovenweep","1700-1800","SK, WW",8/16/2011 0:00:00,"Rocky","Peromyscus boylii","R17","265","Recap","Male","Non-scrotal",15.00,"Seed",,,,,,,,,,,,,,
75,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/12/2011 0:00:00,"Forest","Peromyscus boylii","F36","2301","Ear tag","Male","Non-scrotal",19.00,"PB",,84.00,22.00,20.00,,,,,,,,,,
76,"Hovenweep","1700-1800","SK, RP, JH, WW, AW",8/13/2011 0:00:00,"Forest","Peromyscus boylii","F36","2301","Recap","Male","Non-scrotal",17.50,"Seed",,,,,,,,,,,,,,
