"ID","Date","Site .","Transect","Species","Trap No","Tag/ Clip","Indiv","Fate","Sex","Reprod","Mass","Bait","Notes","tail","hindfoot","ear","ID notes"
53,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M97","356","356","Recap","Female","Non-reprod.",40.00,"Seed",,,,,
54,7/9/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M55","357","357","Marked","Male","Non-scrotal",45.50,"Seed",,,,,
55,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M50","357","357","Recap","Male","Non-scrotal",43.50,"Seed",,,,,
56,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M50","357","357","Recap","Male","Non-scrotal",46.00,"Seed",,,,,
57,7/8/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F27","358","358","Marked","Female","Reproductive",47.50,"PB",,,,,
58,7/9/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F30","358","358","Recap","Female","Reproductive",54.00,"PB",,,,,
59,7/9/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F6","360","360","Marked","Female","Reproductive",48.50,"Seed",,,,,
60,7/10/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F12","360","360","Recap","Female","Reproductive",53.00,"Seed",,,,,
61,7/11/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F9","360","360","Recap","Female","Reproductive",53.00,"PB",,,,,
62,7/9/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F8","362","362","Marked","Female","Reproductive",56.00,"PB",,,,,
63,7/10/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F14","362","362","Recap","Female","Reproductive",55.00,"Seed",,,,,
64,7/11/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F7","362","362","Recap","Female","Reproductive",,"PB","Escaped weighing",,,,
65,7/12/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F11","362","362","Recap","Female","Reproductive",52.00,"Seed",,,,,
66,7/9/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M16","363","363","Marked","Female","Reproductive",57.00,"Seed",,,,,
67,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M16","363","363","Recap","Female","Reproductive",56.00,"Seed",,,,,
68,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M17","363","363","Recap","Female","Reproductive",57.00,"PB",,,,,
69,7/8/2012 0:00:00,"Hermosa","Forest","Tamias minimus","F10","364","364","Marked, Collected","Male","Scrotal",42.50,"PB",,,,,"ID verified with skull"
70,7/9/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M35","365","365","Marked","Male","Non-scrotal",41.50,"Seed",,,,,
71,7/10/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M32","365","365","Recap","Male","Non-scrotal",35.50,"Seed",,,,,
72,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M28","365","365","Recap","Male","Non-scrotal",38.00,"Seed",,,,,
73,7/8/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M24","366","366","Marked","Male","Scrotal",45.50,"Seed",,,,,
74,7/9/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M18","366","366","Recap","Male","Scrotal",47.00,"Seed",,,,,
75,7/10/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M22","366","366","Recap","Male","Scrotal",44.50,"Seed",,,,,
76,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M23","366","366","Recap","Male","Scrotal",45.00,"Seed",,,,,
77,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M19","366","366","Recap","Male","Scrotal",43.00,"Seed",,,,,
78,7/10/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M46","368","368","Marked","Female","Reproductive",55.00,"Seed",,,,,
79,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M52","368","368","Recap","Female","Reproductive",54.50,"Seed",,,,,
80,7/9/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M98","370","370","Marked","Male","Non-scrotal",44.00,"PB",,,,,
81,7/10/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M100","370","370","Recap","Male","Non-scrotal",42.50,"PB",,,,,
82,7/11/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M106","370","370","Recap","Male","Non-scrotal",43.00,"Seed",,,,,
83,7/12/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M102","370","370","Recap","Male","Non-scrotal",42.00,"Seed",,,,,
84,7/9/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M102","371","371","Marked","Male","Non-scrotal",41.00,"PB",,,,,
85,7/10/2012 0:00:00,"Hermosa","Meadow","Tamias minimus","M102","371","371","Recap","Male","Non-scrotal",40.50,"PB",,,,,
86,7/10/2012 0:00:00,"Hermosa","Meadow","Phenacomys intermedius","M96","--","a","Collected","Male","Scrotal",,"PB","Collected",,,,"ID verified with skull"
87,7/8/2012 0:00:00,"Hermosa","Forest","Myodes gapperi","F1","1000","1000","Marked","Male","Scrotal",21.00,"PB",,,,,
