bin,Elevation,spp,Abbrev,Y,Ytot,binsAway,distAway,distAway_sc,interpPatchy,spAbund,delta,era,mtn,set
47,3700,22,Penas,0,19,31,1550,0.9534481779598164,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
48,3750,22,Penas,0,0,32,1600,1.0107906758960383,0.5454545454545454,81,0.4231358807049443,C,FR,FR_C
1,1400,23,Phint,0,0,26,1300,0.6667356882787067,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
2,1450,23,Phint,0,0,25,1250,0.6093931903424847,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
3,1500,23,Phint,0,19,24,1200,0.5520506924062628,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
4,1550,23,Phint,0,13,23,1150,0.4947081944700409,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
5,1600,23,Phint,0,16,22,1100,0.4373656965338189,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
6,1650,23,Phint,0,58,21,1050,0.380023198597597,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
7,1700,23,Phint,0,581,20,1000,0.322680700661375,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
8,1750,23,Phint,0,41,19,950,0.26533820272515307,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
9,1800,23,Phint,0,72,18,900,0.20799570478893112,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
10,1850,23,Phint,0,39,17,850,0.1506532068527092,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
11,1900,23,Phint,0,207,16,800,0.09331070891648724,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
12,1950,23,Phint,0,46,15,750,0.035968210980265286,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
13,2000,23,Phint,0,2,14,700,-0.021374286955956657,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
14,2050,23,Phint,0,45,13,650,-0.0787167848921786,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
15,2100,23,Phint,0,234,12,600,-0.13605928282840055,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
16,2150,23,Phint,0,248,11,550,-0.1934017807646225,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
17,2200,23,Phint,0,303,10,500,-0.2507442787008444,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
18,2250,23,Phint,0,2,9,450,-0.3080867766370664,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
19,2300,23,Phint,0,7,8,400,-0.36542927457328833,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
20,2350,23,Phint,0,22,7,350,-0.42277177250951026,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
21,2400,23,Phint,0,171,6,300,-0.48011427044573224,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
22,2450,23,Phint,0,18,5,250,-0.5374567683819542,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
23,2500,23,Phint,0,2,4,200,-0.5947992663181761,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
24,2550,23,Phint,0,9,3,150,-0.6521417642543981,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
25,2600,23,Phint,0,56,2,100,-0.70948426219062,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
26,2650,23,Phint,0,44,1,50,-0.7668267601268419,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
27,2700,23,Phint,1,188,0,0,-0.824169258063064,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
28,2750,23,Phint,0,77,0,0,-0.824169258063064,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
29,2800,23,Phint,0,169,0,0,-0.824169258063064,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
30,2850,23,Phint,0,60,0,0,-0.824169258063064,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
31,2900,23,Phint,0,40,0,0,-0.824169258063064,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
32,2950,23,Phint,1,56,0,0,-0.824169258063064,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
33,3000,23,Phint,0,88,0,0,-0.824169258063064,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
34,3050,23,Phint,4,63,0,0,-0.824169258063064,0.38095238095238093,37,0.17499874052509412,C,FR,FR_C
